actor,object,optimal_behavior,stimuli_behavior,distance,distance_distances,mod,gp,optimal_behavior_first_word,optimal_behavior_rest,optimal_behavior_all,stimuli_behavior_first_word,stimuli_behavior_rest,stimuli_behavior_all,actor_object_pair
surgeon,teacher,accept,assess,7.1714,7.33090417,12,4,accepts,NA,accepts,assesss,NA,assesses,surgeon __________ teacher
surgeon,teacher,accept,avenge,10.3848,10.76955583,11,3,accepts,NA,accepts,avenges,NA,avenges,surgeon __________ teacher
surgeon,technician,guide,banter with,11.7388,13.27537356,10,2,guides,NA,guides,banters,with,banters with,surgeon __________ technician
surgeon,technician,guide,borrow money from,20.8884,22.51170607,9,1,guides,NA,guides,borrows,money from,borrows money from,surgeon __________ technician
teacher,bailiff,consider,hypnotize,5.153,5.340975744,6,1,considers,NA,considers,hypnotizes,NA,hypnotizes,teacher __________ bailiff
teacher,bailiff,consider,demand,14.7691,15.70251053,5,2,considers,NA,considers,demands,NA,demands,teacher __________ bailiff
teacher,civil engineer,please,laugh at,12.7403,13.21238517,4,3,pleases,NA,pleases,laughs,at,laughes at,teacher __________ civil engineer
teacher,civil engineer,please,hurt,31.8756,32.17198059,3,4,pleases,NA,pleases,hurts,NA,hurts,teacher __________ civil engineer
teacher,cook,attend to,endure,7.6018,7.087126383,2,4,attends,to,attends to,endures,NA,endures,teacher __________ cook
teacher,cook,attend to,incite,9.9861,9.35327408,1,3,attends,to,attends to,incites,NA,incites,teacher __________ cook
teacher,crane operator,remember,rouse,5.2218,5.334536312,16,2,remembers,NA,remembers,rouses,NA,rouses,teacher __________ crane operator
teacher,crane operator,remember,exhaust,11.4737,11.33494258,15,1,remembers,NA,remembers,exhausts,NA,exhausts,teacher __________ crane operator
teacher,defense attorney,admire,dissuade,5.1953,5.1604448,14,1,admires,NA,admires,dissuades,NA,dissuades,teacher __________ defense attorney
teacher,defense attorney,admire,peek at,16.0675,16.28363225,13,2,admires,NA,admires,peeks,at,peeks at,teacher __________ defense attorney
teacher,dental hygienist,explain something to,someone is,11.3438,10.7103457,12,3,explains,something to,explains something to,someones,is,someones is,teacher __________ dental hygienist
teacher,dental hygienist,explain something to,banish,22.2642,21.1421082,11,4,explains,something to,explains something to,banishs,NA,banishes,teacher __________ dental hygienist
teacher,dentist,please,stare at,14.877,14.50443302,10,4,pleases,NA,pleases,stares,at,stares at,teacher __________ dentist
teacher,dentist,please,retaliate against,15.5701,15.96965732,9,3,pleases,NA,pleases,retaliates,against,retaliates against,teacher __________ dentist
teacher,firefighter,invite,obey,7.1946,7.55989925,8,2,invites,NA,invites,obeies,NA,obeys,teacher __________ firefighter
teacher,firefighter,invite,abet,7.6386,7.864406113,7,1,invites,NA,invites,abets,NA,abets,teacher __________ firefighter
teacher,foreman,consider,silence,9.9867,10.44469657,4,1,considers,NA,considers,silences,NA,silences,teacher __________ foreman
teacher,foreman,consider,desert,25.1571,25.96157131,3,2,considers,NA,considers,deserts,NA,deserts,teacher __________ foreman
teacher,musician,explain something to,cross examine,6.3709,5.774416401,2,3,explains,something to,explains something to,crosss,examine,cross examines,teacher __________ musician
teacher,musician,explain something to,extol,6.8494,6.167740887,1,4,explains,something to,explains something to,extols,NA,extols,teacher __________ musician
teacher,nurse,commend,query,5.6125,5.265704986,16,4,commends,NA,commends,queries,NA,queries,teacher __________ nurse
teacher,nurse,commend,terrorize,36.6269,37.20370561,15,3,commends,NA,commends,terrorizes,NA,terrorizes,teacher __________ nurse
teacher,nutritionist,attend to,banter with,7.1318,6.712291976,14,2,attends,to,attends to,banters,with,banters with,teacher __________ nutritionist
teacher,nutritionist,attend to,search,8.7001,7.980474553,13,1,attends,to,attends to,searchs,NA,searches,teacher __________ nutritionist
teacher,pediatrician,invite,embarrass,24.4289,24.53552058,12,1,invites,NA,invites,embarrasss,NA,embarrasses,teacher __________ pediatrician
teacher,pediatrician,invite,demoralize,31.8105,32.19886186,11,2,invites,NA,invites,demoralizes,NA,demoralizes,teacher __________ pediatrician
teacher,surgeon,reply to,study,6.1931,5.731452626,10,3,replies,to,replies to,studies,NA,studies,teacher __________ surgeon
