actor,object,opt_E,opt_P,opt_A,term,term_name,term_E,term_P,term_A,ssd
bailiff,bailiff,1.0863406999775291,0.8730954673245308,-0.25051440975206485,actor,show_something_to,1.1,0.94,0.02,0.07784083885313484
bailiff,civil_engineer,1.3702768048355787,0.8716554815612871,-0.07145890636420732,actor,serve,1.49,0.78,-0.19,0.03678636164097933
bailiff,cook,1.4469687831098543,0.9133952660729852,0.028469039570989174,actor,ask_about,1.62,0.87,0.06,0.0328171526016057
bailiff,crane_operator,1.1219506681976117,0.995048264709878,-0.2247366317376419,actor,show_something_to,1.1,0.94,0.02,0.06340816219617659
bailiff,defense_attorney,1.1546104212617139,0.7487760910486024,-0.22208302481401182,actor,sit_next_to,1.08,0.6,-0.39,0.05589715078416422
bailiff,dental_hygienist,1.2787598257946775,1.0991433112744984,-0.10300221182851071,actor,identify,1.27,1.1,0.16,0.0692476318902143
bailiff,dentist,1.3454289087210936,0.8879207500003786,-0.08953533295989952,actor,serve,1.49,0.78,-0.19,0.04264083803769637
bailiff,firefighter,1.6728972631129668,0.6405576227161852,0.2855099026735387,actor,ask_about,1.62,0.87,0.06,0.10629664114231974
bailiff,foreman,1.0259634936809963,0.983206311212487,-0.26992366747868046,actor,show_something_to,1.1,0.94,0.02,0.09140392256080267
bailiff,musician,1.3153854027846759,1.03228962873141,-0.08047772040407114,actor,identify,1.27,1.1,0.16,0.06447406317399618
bailiff,nurse,1.5355939752448473,0.8672917626082192,0.1607906341505922,actor,ask_about,1.62,0.87,0.06,0.01729046349721623
bailiff,nutritionist,1.4239799792432402,0.9975429537499176,0.03235453099190683,actor,escort,1.47,1.13,0.18,0.041461895930368836
bailiff,pediatrician,1.6524142191534397,0.6432151598775491,0.23589147725749673,actor,ask_about,1.62,0.87,0.06,0.08341985708451732
bailiff,surgeon,1.7472601457913854,0.423101889819651,0.25316753313502416,actor,ask_about,1.62,0.87,0.06,0.25322676144708267
bailiff,teacher,1.5905307558074955,0.6701161235987834,0.12158241347856502,actor,ask_about,1.62,0.87,0.06,0.04461439404829926
bailiff,technician,1.2983470416754552,1.040216747034189,-0.0977454187340902,actor,show_something_to,1.1,0.94,0.02,0.06324892896038561
civil_engineer,bailiff,1.6472107078459857,0.9433630094865152,-0.45806518693272885,actor,serve,1.49,0.78,-0.19,0.12326162397520597
civil_engineer,civil_engineer,1.9056450240434768,0.9960084968619309,-0.1777267762217014,actor,turn_to,1.91,1.14,-0.17,0.02081222186232267
civil_engineer,cook,1.9288893454904241,1.0643086839030274,-0.04317672743697831,actor,turn_to,1.91,1.14,-0.17,0.022170125169142917
civil_engineer,crane_operator,1.701865727655632,1.0712141156381783,-0.39591918412285915,actor,turn_to,1.91,1.14,-0.17,0.09909085096649578
civil_engineer,defense_attorney,1.6984468251633265,0.8316008738383966,-0.43128436156696137,actor,serve,1.49,0.78,-0.19,0.10433087223833266
civil_engineer,dental_hygienist,1.8174374612747783,1.2104519691890359,-0.19228121847638474,actor,turn_to,1.91,1.14,-0.17,0.014027756234663406
civil_engineer,dentist,1.8879628590253983,1.0072649748408107,-0.20157557505214002,actor,turn_to,1.91,1.14,-0.17,0.019101239426218393
civil_engineer,firefighter,2.0387051828262086,0.8258619805651949,0.2408977057087608,actor,answer,1.84,1.16,0.36,0.16531732221924805
civil_engineer,foreman,1.5967516653970932,1.0459000572762838,-0.4775701676880958,actor,excuse,1.32,1.1,-0.44,0.08092980560288564
civil_engineer,musician,1.847394257870807,1.154850485313663,-0.17364257249579607,actor,turn_to,1.91,1.14,-0.17,0.004153284195985465
civil_engineer,nurse,1.9356230936314474,1.0306366825255486,0.11453312693375184,actor,consult,1.77,1.16,0.04,0.04972106406256961
civil_engineer,nutritionist,1.8888923481326831,1.1409316927848714,-0.02663611038106295,actor,consult,1.77,1.16,0.04,0.01893936199127085
civil_engineer,pediatrician,2.04243932841032,0.8224361375949942,0.18671525145950518,actor,answer,1.84,1.16,0.36,0.18495864696574957
civil_engineer,surgeon,2.1612053816861803,0.6150523709381085,0.1955943632465761,actor,ask_about,1.62,0.87,0.06,0.3762873900746082
civil_engineer,teacher,2.0454306254075996,0.8404393346598296,0.053605414583943856,actor,turn_to,1.91,1.14,-0.17,0.15807742794859653
civil_engineer,technician,1.8381826670077357,1.1547969862054377,-0.1937660185324213,actor,turn_to,1.91,1.14,-0.17,0.005941503755769073
